"BehaviorSpace results (NetLogo 6.3.0)"
"For study-Task1.nlogo"
"NG_values_sens"
"06/21/2023 22:18:18:971 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","awareness","import-independence","[step]","mean community-formation-time-list","mean energy-diversity","insulation-improvement","total-costs-per-household","direct-net-benefits-per-household","indirect-net-benefits-per-household","total-co2-per-household","neighborhood-blackout-NG","neighborhood-NG-source-preference","share-national-NG-in-neighborhood","share-ally-NG-in-neighborhood","share-other-NG-in-neighborhood","neighborhood-national-NG","neighborhood-grid-NG","neighborhood-ally-NG","neighborhood-blackout-NG","miscomfort-for-environment"
"22","1","1","239","41","0.4166666666666667","[false false false]","[104.48240011667656 107.92876636877992 128.73005314085148]","[81.35343321665678 77.90706696455328 57.10578019248192]","[2.095771265796261 2.134155372350026 2.6157230527325557]","[151.63619251088008 151.15639117895802 145.1367951741764]","[0 0 0]","[[0 0 0 74] [0 0 0 67] [0 0 0 84]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[617480 646179 2119954]","[0 0 0]","[0 0 0]","[339452 311622 768404]"
"23","1","1","239","41","0.58","[false false false]","[132.6682200707534 136.00999407780137 108.22438404606277]","[53.16761326257999 49.82583925553204 77.61144928727059]","[2.312709807538977 2.143105752345714 2.234401558801774]","[148.92446073909613 151.04451142901192 149.90331384831117]","[0 0 0]","[[0 0 0 90] [0 0 0 84] [0 0 0 91]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[2074522 2169409 1486602]","[0 0 0]","[0 0 0]","[697457 718098 558177]"
"24","1","1","239","41","0.4133333333333333","[false false false]","[100.41893294193683 129.9233343258918 107.89983393341107]","[85.41690039139664 55.91249900744147 77.93599939992211]","[2.493811274485013 2.4564964565037735 1.9969144533595955]","[146.66069240227068 147.12712762703617 152.8719026663384]","[0 0 0]","[[0 0 0 84] [0 0 0 81] [0 0 0 78]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[998551 1726038 543876]","[0 0 0]","[0 0 0]","[455912 672790 239332]"
"25","1","1","239","41","0.5166666666666666","[false false false]","[110.03430997820828 111.82466122829743 134.70167797880254]","[75.80152335512503 74.01117210503597 51.13415535453084]","[2.2717887173594113 2.207323986495096 2.1618753758784828]","[149.4359743663407 150.24178350214464 150.8098911348523]","[0 0 0]","[[0 0 0 79] [0 0 0 89] [0 0 0 97]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[994393 1841616 2369250]","[0 0 0]","[0 0 0]","[496272 637438 583968]"
"26","1","1","239","41","0.38000000000000006","[false false false]","[106.50025254406485 130.6047987933718 98.7720935772243]","[79.33558078926865 55.2310345399615 87.06373975610899]","[2.176716684873802 2.278497690585582 2.4053272155693937]","[150.62437477241082 149.35211220101357 147.76674313871592]","[0 0 0]","[[0 0 0 76] [0 0 0 80] [0 0 0 66]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[974825 1542830 552011]","[0 0 0]","[0 0 0]","[498624 635694 331089]"
"27","1","1","239","41","0.5033333333333334","[false false false]","[129.07539610800305 105.75498630010249 139.85931485820953]","[56.760437225330286 80.08084703323091 45.97651847512397]","[2.217933582673447 2.1571069959863327 1.7547464934123855]","[150.10916354991525 150.8694958835042 155.89900216567852]","[0 0 0]","[[0 0 0 67] [0 0 0 71] [0 0 0 80]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[1222272 668651 1589031]","[0 0 0]","[0 0 0]","[542192 380094 600986]"
"29","1","1","239","41","0.47000000000000003","[false false false]","[108.70108037813395 107.7573731422736 131.54569958814668]","[77.13475295519932 78.07846019105983 54.29013374518689]","[1.9080086139049923 2.3310506942409597 2.34510206630539]","[153.98322565952094 148.69519965532135 148.51955750451597]","[0 0 0]","[[0 0 0 72] [0 0 0 74] [0 0 0 78]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[758423 1065808 1594843]","[0 0 0]","[0 0 0]","[421450 546308 610977]"
"28","1","1","239","41","0.3333333333333333","[false false false]","[99.88310310241113 103.80070054902583 108.75568366585354]","[85.95273023092231 82.03513278430759 77.08014966747979]","[2.3554459573576922 2.7327650767167144 2.0005973980410205]","[148.3902588663622 143.67376987437441 152.8258658578206]","[0 0 0]","[[0 0 0 75] [0 0 0 88] [0 0 0 72]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[861005 1421283 529132]","[0 0 0]","[0 0 0]","[385588 527826 282134]"
"30","1","1","239","41","0.4266666666666667","[false false false]","[107.62048746243168 100.68922651667803 134.25932837336393]","[78.2153458709018 85.14660681665524 51.57650495996932]","[2.114731499548711 2.665498707176696 2.3352473023978657]","[151.39918958897445 144.51459949362464 148.64274205336002]","[0 0 0]","[[0 0 0 80] [0 0 0 69] [0 0 0 88]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[658434 1126386 2532695]","[0 0 0]","[0 0 0]","[290280 624588 854208]"
"31","1","1","239","41","0.47333333333333333","[false false false]","[110.29564672374572 131.3899404426724 100.72656864214302]","[75.54018660958742 54.4458928906611 85.10926469119046]","[2.3604567654757194 2.5445916713423684 2.674075999381835]","[148.32762376488685 146.02593744155374 144.4073833410604]","[0 0 0]","[[0 0 0 77] [0 0 0 82] [0 0 0 69]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[893375 2529579 1110539]","[0 0 0]","[0 0 0]","[446800 941880 538312]"
"32","1","1","239","41","0.52","[false false false]","[130.63306290030332 129.1516427737285 111.91764036277138]","[55.20277043303013 56.68419055960497 73.91819297056199]","[2.4369398174760706 2.5311275067383234 2.0876992348517796]","[147.37158561488246 146.1942394991043 151.7370928976861]","[0 0 0]","[[0 0 0 67] [0 0 0 70] [0 0 0 96]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[1693211 1534935 1384683]","[0 0 0]","[0 0 0]","[786352 629552 484800]"
"33","1","1","239","41","0.5166666666666666","[false false false]","[115.19047316193519 107.65699905476849 136.41135595931524]","[70.64536017139827 78.17883427856502 49.42447737401797]","[1.7520156353279845 2.3554927292784145 2.469055868883131]","[155.93313789173354 148.38967421735316 146.9701349722942]","[0 0 0]","[[0 0 0 92] [0 0 0 80] [0 0 0 88]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[1605927 1302112 2110171]","[0 0 0]","[0 0 0]","[635873 551200 568968]"
"34","1","1","239","41","0.58","[false false false]","[134.0507413889427 131.20955210513162 108.74488432171809]","[51.78509194439072 54.62628122820183 77.09094901161527]","[2.1057180423162847 2.5622843629859338 2.026032414450422]","[151.5118578043798 145.80477879600917 152.50792815270307]","[0 0 0]","[[0 0 0 76] [0 0 0 85] [0 0 0 73]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[1695288 2300923 768061]","[0 0 0]","[0 0 0]","[583276 696010 454917]"
"35","1","1","239","41","0.52","[false false false]","[108.7136607109134 134.34522240605943 108.9113969470717]","[77.12217262241992 51.490610927273856 76.92443638626156]","[2.3635750870028507 2.3102234213528527 2.2149404200872937]","[148.2886447457977 148.95554056642268 150.14657808224217]","[0 0 0]","[[0 0 0 85] [0 0 0 65] [0 0 0 71]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[1204157 1759759 1525063]","[0 0 0]","[0 0 0]","[582508 836325 655419]"
"37","1","1","239","41","0.39666666666666667","[false false false]","[108.77385712304762 132.34287545627032 105.2606933745546]","[77.06197621028583 53.492957877063056 80.57513995877869]","[2.0235478305401307 2.017096911307801 2.445017975626372]","[152.5389854515817 152.61962194198583 147.2706086380037]","[0 0 0]","[[0 0 0 92] [0 0 0 91] [0 0 0 101]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[1606187 1868091 1068590]","[0 0 0]","[0 0 0]","[545440 598362 438828]"
